trip_id,0
1179462,
152567,
1289340,
329072,
1009349,
1398707,
1587125,['1430275']
1195414,['1058921']
1360865,
1419557,['1128631']
1012600,
59609802_1.026012,
194023,
1411797,['1324462' '1373703' '1530605' '21076' '228387' '298896']
204200,
1362001,
1409513,
1060125,
1028013,['1117626' '1198488' '1202050']
1202655,
129917,
300183,['1076364' '1132692' '1316942' '1534128']
1234311,['1022003' '124228']
29550387#1_1.029997,
1440004,['1257253' '1588453']
1054481,
1559884,
1329437,
1046294,
1152676,['1002869' '1525773']
1553976,
1270231,
352345,
1371307,
1504689,
107793,
1230036,
1532035,
1459906,
24491335#2_1.025000,
1013849,['164919']
1145923,
1010797,
122615,
152703,
1461221,
160155,
1559869,
29550387#1_2.026866,
1054253,
29550387#1_2.027327,
1357591,
1574247,['309925']
1098517,
451172,['1320736' '1459736']
59609802_1.026949,['59609802_1.027390']
1366753,['1223077']
1376696,
107681,
1396306,
1315588,
18730,
1521218,
128338,['1414378']
1206153,
1547598,['336327']
1105357,
1206620,['1087172' '1117040' '1460887' '253321']
1498519,
166584,['1570751']
1151229,
57868214#1_2.025970,
1369531,
1406188,
1010751,
1364299,
1230442,
1072909,
130519,['1370691']
59609802_1.026968,
24491335#2_1.032194,
1325297,
1234440,
1525535,
176612,
1503660,
1188539,['1039575']
1042690,['1047992' '1360558']
1125914,
1150446,['251948']
1357354,
1441399,
1456809,
1070022,
1028705,
1072598,
1211937,
1199111,
1467542,
1429835,
1082267,
1590017,['1427493']
102955,
29550387#1_2.027282,
1463659,
1130665,
57868214#1_1.029621,['57868214#1_2.027874']
1116315,['240598']
1181376,['1108306' '1308113' '187008']
1522509,['1184270']
29550387#1_1.026954,
1407716,['1026225' '1263667' '1490834' '155442']
1323216,
1322597,
118862,
110737,
30642,['157364']
1174601,
59609802_1.022742,
1451526,
1395566,['1052783']
1098717,['1065482' '1429935' '1550002' '212518']
24491335#2_1.023477,
29550387#1_1.024050,
1404564,
1077012,['1006746' '1417965' '181167']
305014,['1450146']
57868214#1_1.025201,
1136126,
1045611,
104592,
1444904,['1347574']
1159222,['1349962']
1195498,
103618,
1117259,['1349462']
364488,
194712,
1340091,
59609802_1.030018,['59609802_1.027338']
1586795,
1563539,
1480918,
1120436,
1310914,
1177286,
29550387#1_1.030876,
1327405,
1504996,
29550387#1_1.027297,['29550387#1_1.023254']
1518499,['1034835']
1259536,
1215807,['242443']
1533656,
1247055,
57868214#1_1.025182,['57868214#1_3.027281']
1157097,
342534,
1591713,['142407']
226159,['1392633' '1479677' '1535002' '346965']
1021414,
1175764,
1404246,['1185096' '1426840']
24491335#2_1.031099,
1012723,['1586651']
1254873,
1274814,
203360,
263395,
1577630,['1070444' '1183393' '1436957' '1483288' '1585164' '177981']
1388123,
1454664,['210159']
57868214#1_1.029745,['57868214#1_2.025965' '57868214#1_2.026478' '57868214#1_3.026526']
1051757,
1213534,
57868214#1_1.021876,
29550387#1_1.024891,
1259529,
441664,
1200135,['1237627' '226127']
1215423,['11082' '1457794']
