trip_id,0
1179462,
152567,['1026474' '1172601' '477928']
1289340,"['1001880' '1029473' '1041587' '105826' '1091493' '1126177' '1132663'
 '1136256' '1179159' '1184841' '125483' '1278534' '1289905' '1296764'
 '1312299' '1343580' '1361164' '1380282' '14437' '1451745' '147844'
 '1484748' '1566434' '1573996' '171038' '248541' '258966' '282286'
 '353766']"
329072,
1009349,
1398707,"['1019841' '1086152' '1090057' '1153587' '1207618' '125894' '1325330'
 '1334543' '1349562' '1393517' '1427012' '1492404' '160213']"
1587125,"['1000097' '1011336' '1014490' '1018781' '1020985' '1027672' '103686'
 '1053470' '1057346' '1074299' '1081687' '1103642' '1116721' '1131838'
 '1131968' '1133895' '1136412' '1140346' '1141159' '1148056' '1177891'
 '1216759' '1222301' '1231252' '124432' '1268294' '1270238' '1294034'
 '1298779' '1303045' '1309652' '1355427' '1355643' '1368043' '1372484'
 '137453' '1389726' '1401250' '1427467' '1446410' '1457050' '147432'
 '1482999' '1487023' '1487471' '149175' '1516977' '1536011' '1552444'
 '1562522' '156481' '1565880' '1585094' '165079' '166089' '175791'
 '188986' '208675' '209622' '213274' '229958' '265843' '292987' '302207']"
1195414,['1046257' '108679' '1114581' '1163433' '1171515' '199909' '265116']
1360865,['1527397' '418781']
1419557,['1056413' '112070' '1367801']
1012600,
59609802_1.026012,
194023,['113034' '1130848' '1423286']
1411797,['1116694' '114063' '1198699' '126677' '1363640' '1474906' '196561']
204200,['1229541']
1362001,
1409513,
1060125,
1028013,
1202655,
129917,['1109826' '1217586' '1435061']
300183,"['1006211' '1008207' '1010524' '1025003' '1041683' '104476' '1057587'
 '10740' '1082444' '1083541' '1090062' '1090140' '1098087' '1105681'
 '1106864' '1115714' '1118132' '1119141' '1140143' '1143265' '1150774'
 '1158402' '1162828' '1164931' '1171155' '1174863' '1199292' '1201888'
 '1209616' '1214672' '1215641' '1225681' '1237405' '1239747' '124140'
 '1253718' '1266182' '1271816' '1273636' '1293078' '1305216' '1308162'
 '1335815' '135069' '1358100' '1363185' '1366515' '138240' '1386932'
 '139103' '1395949' '1402145' '1418674' '1427456' '1434261' '1436563'
 '1441047' '1445537' '1445764' '1448483' '1453207' '1458218' '1463737'
 '14800' '1480604' '1484799' '1485335' '1487150' '1501200' '1504892'
 '1518100' '1522361' '1531194' '153788' '1542669' '1548432' '1551413'
 '1555569' '1567907' '1573640' '1575377' '157643' '1584136' '1587818'
 '15978' '160356' '166040' '17669' '178417' '179323' '1802' '193530'
 '199476' '199592' '200019' '217649' '224481' '232188' '232735' '251016'
 '278307' '285979' '304468' '353336' '373028']"
1234311,['253154']
29550387#1_1.029997,['29550387#1_1.024980']
1440004,['216799']
1054481,['204715']
1559884,['1056156' '1329053' '1547053' '214676']
1329437,"['1000397' '1006641' '1039342' '1070160' '1079208' '1093486' '1093767'
 '1095223' '1111300' '1122856' '1139525' '1145316' '1147721' '1155753'
 '1162205' '1184965' '1190296' '1191365' '119368' '1204096' '1216120'
 '1239405' '1243801' '1268172' '1276715' '1282485' '1282975' '1292038'
 '1297330' '1331292' '1332442' '1355959' '1356626' '1375173' '1381520'
 '139074' '1406508' '1406631' '1449832' '1460695' '1464525' '1467043'
 '1469371' '147130' '1497579' '1535296' '1542829' '1549446' '1559782'
 '16122' '173971' '188513' '193163' '200638' '20361' '216631' '217908'
 '225868' '234254' '238887' '315529' '333344' '351257' '377917']"
1046294,['1018511']
1152676,"['1001707' '1004179' '1009120' '1016505' '1016942' '1024119' '1035017'
 '1060993' '1067024' '107899' '1083838' '1096460' '1098263' '1125962'
 '1131107' '1144642' '1156801' '1158911' '1160093' '1162082' '1165048'
 '1185900' '1221820' '1231421' '1250981' '1259632' '1266726' '1268060'
 '1286394' '1301804' '1331437' '1332989' '1402368' '1407472' '1413672'
 '1427728' '143168' '1448405' '1451115' '1459111' '1460605' '146472'
 '1473716' '1498275' '150482' '1528971' '1541482' '1542879' '1566234'
 '1584496' '164595' '165010' '17663' '218813' '23131' '24166' '291570'
 '317643' '318434' '368835' '471802' '568519']"
1553976,['149840' '1537527' '191027']
1270231,['147130']
352345,
1371307,"['1023188' '1036602' '1038075' '1049119' '1061961' '1081236' '109026'
 '113800' '1146982' '117989' '1194072' '1203444' '1209959' '1215061'
 '122476' '1225567' '1231479' '123999' '1242642' '1254645' '1256200'
 '1271043' '1279336' '129730' '1310862' '1331478' '13634' '1388921'
 '1396326' '1414970' '1426310' '1477940' '1496659' '1560671' '159841'
 '189632' '203376' '205535' '220770' '234551' '241975' '262719' '292542'
 '343926' '387848' '50621']"
1504689,"['1047794' '1051252' '105226' '1054040' '1055128' '106896' '1072395'
 '1086840' '1113733' '1132431' '1143389' '1180977' '1206613' '1216413'
 '1227117' '1231256' '1251976' '1256590' '1265061' '1268397' '1281984'
 '1287407' '1317609' '1329569' '134224' '1345069' '1373406' '1378924'
 '1383558' '1449620' '1463282' '1475883' '1492494' '1496713' '1541826'
 '1550529' '1561127' '156186' '1570239' '178641' '191490' '211823'
 '217917' '265112' '418382' '443538']"
107793,['1068236' '1097413' '1313411' '148161' '1493336' '386689']
1230036,
1532035,['1040279' '1088970' '1370240' '1459889' '1554591' '206298']
1459906,['1538805']
24491335#2_1.025000,['24491335#2_1.023875']
1013849,['1267843']
1145923,
1010797,
122615,['1000809' '1531047']
152703,"['1031468' '1036082' '1076134' '1170856' '1173542' '1189688' '1194515'
 '1200909' '1208628' '1280449' '1282355' '1290265' '1310' '1363980'
 '1385453' '1439559' '1465908' '1472365' '1490051' '151779' '1523442'
 '1530935' '1575097' '159273' '173100' '236592' '281498']"
1461221,
160155,['1358922' '1586741']
1559869,"['1019637' '1035719' '1084934' '1115031' '1174490' '1182863' '1260186'
 '134967' '233490']"
29550387#1_2.026866,
1054253,['1185714' '1201565' '1588164']
29550387#1_2.027327,
1357591,"['1003' '1004456' '1022736' '1034736' '1037767' '1044411' '1065901'
 '1095602' '1178031' '1197191' '120673' '1217640' '125881' '1287606'
 '1291759' '1301193' '1344636' '1354419' '1364866' '1393869' '1438182'
 '1456302' '1498210' '1502568' '152068' '1523258' '1539782' '15548'
 '1577921' '1578299' '1583391' '174191' '193408' '225921' '274052'
 '394378']"
1574247,"['1094420' '1176172' '1272481' '1328418' '137830' '1500216' '1516194'
 '1562654' '1570827' '238821']"
1098517,
451172,"['1027284' '1030329' '1209664' '1221820' '1266726' '128655' '1402368'
 '1448405' '17663']"
59609802_1.026949,
1366753,['1162927' '1231995' '1502442' '1539966' '1569967' '272915']
1376696,['1398463']
107681,"['1046508' '1132126' '1191477' '1250603' '1333956' '1362737' '1380434'
 '1411861' '1522539' '204774']"
1396306,['1150059' '1271365' '1286179' '1331183' '145295']
1315588,
18730,
1521218,"['1063602' '1096060' '1109519' '1180282' '1241385' '1317395' '1470333'
 '1536576' '1580486' '182370' '215323' '257849']"
128338,"['1100518' '1118049' '1138190' '114063' '1198201' '1198699' '1208642'
 '1215881' '1228407' '1264714' '126677' '1301319' '1402866' '1474906'
 '1535805' '156259' '1588945' '178480' '204082' '264834' '458471']"
1206153,"['1219478' '122907' '1241643' '1290333' '1378775' '1541915' '180272'
 '18837' '252221' '422442' '504200']"
1547598,['1303028' '259130']
1105357,"['1000680' '1003' '1022690' '1022736' '1034736' '1044411' '1058280'
 '1095602' '1138433' '1148885' '1164975' '1192833' '1211442' '1214920'
 '1218336' '1230438' '124400' '125881' '1266094' '1287606' '1291759'
 '129439' '1302221' '1309697' '133626' '1346040' '1358799' '1363524'
 '1368862' '1392592' '1416493' '1419072' '1422612' '1433144' '1488865'
 '1514352' '1523258' '1569296' '1573096' '1578299' '174191' '1835'
 '191009' '193408' '199490' '226578' '23025' '265554' '269300' '274052'
 '301964' '304052' '331448']"
1206620,['1046761' '1088039' '1244775' '1414768' '1438290' '153676' '1589209']
1498519,['1297664' '1479691']
166584,['1008133' '1032062']
1151229,['1273693']
57868214#1_2.025970,
1369531,
1406188,"['1002574' '1013308' '1018869' '1029926' '1061705' '1063602' '1077274'
 '108587' '1086596' '1086614' '1087370' '1092502' '1095448' '1098532'
 '110458' '1110203' '1129621' '1147468' '1159551' '1188795' '1200919'
 '1212651' '1222948' '1227540' '1245860' '1247466' '1274242' '1276401'
 '1279139' '1279620' '1286060' '1306697' '132123' '1325859' '1336252'
 '1340263' '1363642' '1371266' '1377523' '1384526' '1394225' '1423632'
 '1444106' '1454418' '1455801' '146392' '1470333' '1471171' '1493977'
 '1495131' '151383' '1525366' '1529417' '1569169' '1576026' '1579145'
 '1579618' '160281' '184058' '193430' '199242' '209184' '214407' '228760'
 '267170' '275609' '288231' '297526']"
1010751,['1221656' '1457482' '1461905' '1468401' '1469173' '200949' '364369']
1364299,"['100192' '1002574' '1004158' '1006746' '1021950' '1024722' '1026512'
 '1054840' '1060354' '108587' '1086596' '1087370' '1092502' '1095448'
 '1097217' '1097431' '1104610' '1105069' '1110203' '1118020' '1129360'
 '1147468' '1148893' '1165026' '1184254' '1193077' '1209494' '1219330'
 '1223659' '1227540' '1232534' '123760' '1247466' '1275399' '1295558'
 '1307192' '1316680' '132123' '1336252' '1349283' '135593' '1373719'
 '1377523' '1382933' '1391628' '1395743' '139836' '1413435' '1413977'
 '1417965' '1424038' '1431558' '1441361' '1442229' '1443834' '1454418'
 '1470333' '1488367' '1493977' '1494828' '1511529' '1523586' '1525901'
 '1529417' '1533341' '1534252' '1552275' '1553467' '1571528' '1575495'
 '1593041' '178471' '181167' '188103' '228159' '258868' '268076' '288231'
 '297526' '356423' '364659' '37465' '386608' '396327']"
1230442,['415048']
1072909,['112470' '1436709']
130519,['1298597' '1456995' '1512189']
59609802_1.026968,
24491335#2_1.032194,
1325297,['1494577']
1234440,['1103557' '1106645' '1331693' '1372020']
1525535,"['1000080' '1014820' '1060046' '1060353' '1077404' '1079600' '1089177'
 '109395' '1104482' '1107383' '1124178' '1137431' '1137461' '1141199'
 '118202' '1202507' '1234453' '124228' '1250603' '1254610' '1276464'
 '1295450' '1304587' '1304612' '1337214' '148031' '1485103' '1494028'
 '1498808' '1516300' '1549448' '181790' '20797' '215934' '239560' '31273'
 '366663' '465040']"
176612,['1336387' '1400548' '1423444' '1475753' '358744']
1503660,
1188539,
1042690,"['1062232' '1171206' '1185230' '122894' '1370803' '1528682' '16321'
 '209085']"
1125914,['1484859']
1150446,"['1004131' '1040948' '111930' '1317451' '1366984' '1370019' '137967'
 '180272' '18837' '325788' '504200']"
1357354,['1132513' '1446522' '1554720']
1441399,
1456809,['110608' '1163786' '1563666' '213489' '24934']
1070022,['1043333' '1092502' '109703' '1227540' '1336252' '1391628']
1028705,['1192154' '127318' '1424630' '1588682']
1072598,"['1000809' '100194' '100627' '1019136' '1020143' '1020195' '1023079'
 '1026433' '1026474' '1027957' '1031205' '1031353' '1031360' '103211'
 '1035704' '1036336' '1037278' '1038413' '1040221' '1042355' '1046204'
 '1051577' '1054181' '1061428' '1062964' '1063539' '1064181' '1064298'
 '1068655' '1068734' '1069271' '1070400' '1071265' '1073608' '1074368'
 '1075982' '1079636' '1081599' '1083141' '1084216' '108465' '1086977'
 '1087526' '1087685' '108864' '1088832' '1091522' '1093247' '1093371'
 '1097152' '1099167' '1099407' '1100343' '1100945' '1101196' '110505'
 '1110373' '1113858' '1115052' '1115420' '1117453' '1119644' '1121770'
 '1125016' '1125883' '1127553' '112923' '1130477' '1130932' '1133985'
 '113672' '1139600' '114682' '1150762' '1151518' '1153565' '1154721'
 '1161538' '1162239' '116769' '1168291' '1169268' '1171125' '1171782'
 '1174130' '11762' '117931' '118185' '1182593' '1185631' '1187347'
 '1188806' '1189314' '1191675' '1199443' '1201033' '120149' '1205165'
 '1206092' '1206377' '1207582' '1208854' '1211308' '1211745' '1212405'
 '1215256' '1216407' '1217325' '1219581' '1221029' '1221362' '1222439'
 '1225224' '1234745' '1236035' '1236944' '1246903' '1247568' '1254711'
 '1258574' '1259141' '125942' '1262664' '1267157' '1271577' '1275676'
 '1278253' '1283073' '1284496' '1286564' '1293362' '1293668' '1296780'
 '129693' '1298610' '1299174' '1300065' '1301417' '1302151' '1303941'
 '1307140' '1307288' '1307655' '1310474' '1311702' '1312849' '1317935'
 '1319152' '1320413' '1323552' '1323554' '1323774' '1326360' '1328334'
 '1333667' '133537' '1336338' '1342907' '1345656' '1348096' '134898'
 '1353326' '1356655' '1360024' '1360567' '1360898' '1361486' '1363438'
 '1363567' '1370614' '137114' '1374901' '1377993' '1382447' '1386732'
 '1389524' '1391546' '1395951' '1398701' '139950' '1401586' '141840'
 '1419527' '1420174' '1420451' '1426486' '1427454' '1427661' '1429083'
 '1429978' '1431146' '1434291' '1436437' '1438506' '1441166' '1441830'
 '1446216' '144755' '1447828' '1447875' '1448107' '1449562' '1449787'
 '1452430' '145535' '1458926' '1464877' '146666' '1468704' '1469130'
 '1471574' '1474516' '1476189' '1477644' '1482330' '148692' '1494560'
 '1496416' '149928' '1506399' '1507385' '1510724' '1510968' '1512174'
 '151827' '1519934' '152097' '1523273' '1524517' '1524629' '1526712'
 '1527310' '152764' '1529388' '1530611' '153284' '1533420' '1535185'
 '1535663' '153947' '1543619' '1544355' '1545170' '154743' '1552112'
 '1553630' '1557946' '1561781' '1570369' '1574089' '1574544' '1575752'
 '1576568' '1586521' '1589850' '164026' '164823' '165757' '167091' '17386'
 '189434' '189814' '192161' '19697' '198932' '199902' '205772' '207334'
 '207458' '210363' '210482' '21576' '217380' '22126' '232431' '233741'
 '233951' '250122' '250649' '255552' '257851' '26340' '272464' '273732'
 '275149' '278007' '278203' '278545' '282497' '284159' '285387' '297771'
 '309506' '311960' '312917' '314317' '316609' '317116' '327065' '333970'
 '336729' '346177' '352420' '354429' '374395' '374471' '390087' '398797'
 '408182' '428661' '473306' '475297' '506258' '529628']"
1211937,
1199111,"['1107968' '1132198' '1261763' '1289786' '1385304' '1394729' '1402525'
 '1433932']"
1467542,"['1028656' '1138154' '1206447' '1225483' '1328476' '1456733' '1467435'
 '1473857' '178876']"
1429835,
1082267,"['1002277' '1033006' '1044532' '1056760' '1058509' '1068608' '1078540'
 '1080726' '1089286' '1090389' '1105134' '1121689' '1127693' '1128819'
 '1135838' '1157934' '1159087' '1170096' '117963' '1218815' '1231237'
 '1253135' '1256535' '1268266' '1268419' '1286296' '1287544' '1288365'
 '1291338' '1293651' '1308083' '1317356' '1319538' '1324229' '1324433'
 '133747' '1339865' '1361204' '1364508' '1372535' '137853' '1386318'
 '1395682' '1411439' '1440467' '1445029' '1446709' '1450072' '1455854'
 '1456229' '1488768' '1490834' '1507279' '1509521' '1512006' '1530372'
 '1534551' '1556350' '1582372' '1591322' '168978' '188974' '191586'
 '197688' '201288' '20183' '20744' '212642' '22871' '251142' '295165'
 '310931' '371991' '383152']"
1590017,"['103524' '1087720' '1105134' '1203681' '1263667' '128794' '1330934'
 '1339865' '1372535' '255488' '275259']"
102955,"['1153926' '1156550' '1158947' '119380' '126750' '1269127' '1315113'
 '1355679' '1386228' '1508492' '181801' '184332' '298949' '338806']"
29550387#1_2.027282,
1463659,
1130665,"['1003745' '10763' '1082388' '1083906' '1096839' '1104316' '1106192'
 '1110137' '1134622' '1149741' '1162969' '1165215' '1196096' '121950'
 '12663' '1267811' '1284346' '1288169' '1296725' '1305823' '1313961'
 '131721' '1319022' '1319967' '1331947' '1333085' '1333567' '1348467'
 '1359685' '1386408' '140512' '141724' '1428210' '1445914' '1446088'
 '1477670' '1500726' '151337' '1532053' '1537817' '1551386' '1592295'
 '193833' '205446' '214762' '218292' '25085' '326470' '347227' '38281']"
57868214#1_1.029621,['57868214#1_1.027033' '57868214#1_2.025701' '57868214#1_2.026106']
1116315,['1353617' '142785' '1503541']
