trip_id,0
1179462,['1560430' '438953']
152567,['1054337' '1108989' '1285702']
1289340,['1034835' '1186373' '257768' '292025']
329072,"['105464' '109575' '1122649' '112383' '112504' '1235521' '1249564'
 '1479638' '1562190' '177245' '253184']"
1009349,
1398707,['1346721' '200017']
1587125,"['100097' '1026989' '1029771' '1038072' '1067499' '1083030' '1088012'
 '109342' '1115746' '1130766' '1169757' '1185784' '1202131' '1206260'
 '120631' '1214972' '1230138' '1233272' '1237095' '1278236' '1311266'
 '1325726' '1346648' '13728' '1373933' '1374763' '1377774' '1397031'
 '1400732' '1412001' '1417663' '1430275' '14306' '1433967' '143974'
 '1442190' '1472471' '147393' '1475621' '1515969' '1530526' '1553150'
 '1560306' '1565008' '1566638' '1571619' '1577695' '161744' '170125'
 '172204' '184820' '200545' '212136' '234500' '246198' '252805' '384492'
 '408196' '432396']"
1195414,"['100011' '1000862' '1002869' '1005501' '1010182' '10235' '1027398'
 '102767' '1032392' '1037787' '1041361' '1051369' '1058921' '1063606'
 '1064752' '1067010' '1070793' '1070807' '1071174' '1079440' '1079844'
 '1096752' '109970' '1101824' '1106269' '1108013' '1111523' '1116238'
 '1117925' '1121417' '1132692' '1142164' '1149819' '1154645' '1157292'
 '1178151' '1181792' '1184765' '1185386' '1187218' '1209387' '1209774'
 '1223639' '1229712' '1233061' '123684' '1237698' '1238890' '1248651'
 '1253692' '1257320' '1261719' '1269186' '1278183' '1282491' '1284820'
 '1288959' '1292468' '1303609' '1304599' '1304652' '1306796' '1307955'
 '1314469' '1314550' '1315238' '1315629' '131576' '1317550' '1318376'
 '1323410' '1324356' '1327379' '1333529' '1335224' '1336949' '1339796'
 '1345696' '1350418' '1350971' '1360607' '1375159' '1376234' '1392437'
 '139561' '1396233' '1398025' '1399893' '1401816' '1404705' '1406822'
 '1407277' '1413519' '1423493' '1427748' '1437851' '1437885' '1440100'
 '1445429' '1447604' '1449135' '1455088' '1455164' '1457497' '1465637'
 '1466420' '1469683' '1475556' '1476086' '1476900' '1480006' '1480436'
 '1490890' '149686' '1497355' '1501505' '1501776' '1515427' '1518072'
 '1528252' '153560' '1543227' '1544345' '1544658' '1547529' '1554955'
 '1564300' '156556' '1568464' '1574236' '1576041' '1580730' '1583576'
 '1588371' '1591140' '162510' '166137' '167353' '169046' '174911' '176404'
 '187545' '191403' '194764' '198895' '211438' '213528' '218819' '227262'
 '231383' '240166' '246622' '257217' '261580' '281083' '283048' '290518'
 '292387' '305607' '323846' '333791' '377043' '377852']"
1360865,"['1014974' '1021394' '1024266' '1051860' '1052563' '1068747' '1116317'
 '112723' '1129748' '1200478' '1212064' '1222851' '1260015' '1411573'
 '1431650' '1439114' '1456711' '1477597' '148903' '1590497' '16842'
 '178247' '229732' '283627' '285135' '408048']"
1419557,"['1018109' '1037913' '1038527' '1040447' '1061040' '1069131' '1108251'
 '1112682' '1128631' '1154768' '1240510' '1243590' '1259457' '1307928'
 '1310158' '134134' '1423160' '1427893' '143090' '1488720' '1490986'
 '1493127' '1513837' '1514447' '1538382' '156095' '1578369' '171906'
 '23960' '292852' '479570']"
1012600,['1012321' '1028992' '1443499' '1550468']
59609802_1.026012,
194023,
1411797,"['100133' '1029583' '1034210' '1035704' '1051577' '1056071' '1064792'
 '1072422' '1112430' '1139600' '1153362' '1162664' '1187959' '1234361'
 '125792' '128856' '1295165' '130825' '1324462' '1328803' '1334281'
 '1339355' '1361213' '136199' '1373703' '1409458' '1415563' '1420174'
 '1449787' '1466725' '1483882' '152201' '1524232' '1530526' '1530605'
 '1546027' '177629' '21076' '228387' '298896' '311960' '506258']"
204200,
1362001,['1163845' '128112']
1409513,['1155705']
1060125,['230339']
1028013,"['1001018' '100563' '1011411' '1013998' '1019889' '1026332' '1026989'
 '1037532' '1038072' '1040493' '1040706' '104269' '1044838' '1045306'
 '1046921' '1048405' '1050586' '1057346' '1064058' '1074421' '1074649'
 '1074774' '1078217' '1079165' '1081155' '1082576' '1082712' '1083030'
 '1085502' '1088012' '1089646' '1089938' '1090048' '1092083' '109342'
 '1097134' '110032' '1101976' '1108306' '1110003' '1110519' '1112259'
 '1113550' '1114892' '1115746' '1117626' '1118053' '112097' '1125146'
 '1128607' '1130567' '1130766' '113211' '1135419' '1137968' '1148982'
 '114921' '1155854' '1171061' '1174193' '1176333' '1177186' '11795'
 '1185784' '1186224' '1198488' '1200433' '1201753' '1202050' '1202131'
 '120370' '1205378' '1206173' '1206197' '120631' '1216759' '121895'
 '1219781' '1224256' '122479' '122610' '1232024' '1233272' '1233374'
 '123359' '1237095' '123768' '1238098' '1241069' '1245902' '1247274'
 '1254487' '1256458' '1258991' '1263588' '1264703' '1276242' '1278236'
 '1279612' '1282324' '1284351' '128645' '128674' '1288876' '1293214'
 '1293322' '1295888' '1297219' '1298779' '1303309' '1305060' '130512'
 '1305587' '1305761' '1306871' '1308113' '1309652' '1314771' '1316460'
 '132065' '1321797' '1322793' '1325730' '1326946' '132978' '1333068'
 '1346648' '1348492' '135115' '135290' '1356733' '1356770' '1356819'
 '136236' '136352' '136744' '1369405' '1373155' '1373406' '1373933'
 '1374763' '1374822' '1377013' '1377774' '1380049' '1387590' '1389748'
 '1395001' '1396143' '1397031' '1398029' '13997' '1400732' '1400740'
 '1401627' '1401737' '1404676' '140512' '1416672' '1419767' '1420393'
 '1424283' '1430567' '14306' '1433967' '1439557' '143974' '1441770'
 '1442190' '1442344' '1447155' '1449665' '1453752' '1454105' '1456905'
 '1463213' '1463835' '1466182' '1468095' '1468791' '1471738' '1471911'
 '147323' '147393' '1478386' '1479534' '148057' '1486299' '1499788'
 '1509272' '1515969' '1516010' '1519495' '1523859' '152604' '1529580'
 '1530526' '1536888' '1541906' '1544571' '154523' '1550538' '1553150'
 '155710' '1557236' '1557263' '1558491' '1560306' '156385' '1565008'
 '1569225' '1569479' '1571619' '1572266' '1577695' '1578342' '1585643'
 '1592295' '159529' '160890' '161744' '166646' '170125' '175199' '176927'
 '176982' '178538' '180110' '187008' '189008' '190180' '19222' '192764'
 '193218' '196975' '19950' '200905' '201900' '20470' '212095' '214131'
 '216918' '233306' '234500' '245488' '246198' '250517' '255127' '255428'
 '261555' '265112' '268963' '27664' '283081' '308367' '310914' '313835'
 '313918' '315531' '321573' '324147' '326470' '343116' '354376' '389842'
 '397128' '413714' '418382' '432396' '453029']"
1202655,['197667']
129917,['1239936']
