trip_id,0
1179462,
152567,
1289340,"['1126177' '1136256' '1184841' '1289905' '1296764' '1312299' '1343580'
 '1380282' '147844' '1484748' '1566434' '1573996' '171038' '248541'
 '258966' '282286' '353766']"
329072,
1009349,
1398707,
1587125,"['1018781' '1027672' '103686' '1057346' '1074299' '1081687' '1131838'
 '1133895' '1136412' '1140346' '1177891' '1222301' '1268294' '1270238'
 '1303045' '1355427' '1372484' '137453' '1401250' '1487471' '1585094'
 '175791' '209622' '229958' '265843']"
1195414,['199909']
1360865,
1419557,['1056413']
1012600,
59609802_1.026012,
194023,['1130848']
1411797,['1116694' '114063' '126677' '1474906' '196561']
204200,
1362001,
1409513,
1060125,
1028013,
1202655,
129917,
300183,"['1006211' '1041683' '104476' '1057587' '1082444' '1098087' '1106864'
 '1115714' '1118132' '1119141' '1150774' '1162828' '1171155' '1174863'
 '1214672' '1215641' '1239747' '1266182' '1271816' '1366515' '138240'
 '1395949' '1427456' '1445537' '1453207' '1463737' '1480604' '1484799'
 '1485335' '1487150' '1518100' '153788' '1548432' '1567907' '166040'
 '179323' '199592' '224481' '278307']"
1234311,
29550387#1_1.029997,['29550387#1_1.024980']
1440004,['216799']
1054481,
1559884,['1329053']
1329437,"['1000397' '1039342' '1079208' '1095223' '1111300' '1122856' '1139525'
 '1145316' '1155753' '1162205' '1184965' '1190296' '1191365' '119368'
 '1204096' '1292038' '1297330' '1331292' '1355959' '1356626' '1406631'
 '1460695' '1467043' '1535296' '1559782' '173971' '193163' '217908']"
1046294,['1018511']
1152676,"['1016505' '1016942' '1067024' '107899' '1083838' '1160093' '1331437'
 '1451115' '1459111' '1473716' '1542879' '317643' '368835' '471802']"
1553976,
1270231,
352345,
1371307,"['1036602' '1038075' '1049119' '109026' '113800' '117989' '1209959'
 '1225567' '1256200' '1331478' '1396326' '1414970' '1560671' '205535'
 '262719' '292542' '50621']"
1504689,"['1047794' '106896' '1086840' '1231256' '1251976' '134224' '1550529'
 '1561127' '178641']"
107793,['148161' '1493336']
1230036,
1532035,['1459889']
1459906,
24491335#2_1.025000,['24491335#2_1.023875']
1013849,
1145923,
1010797,
122615,
152703,['1031468']
1461221,
160155,['1358922' '1586741']
1559869,['1174490' '1182863' '1260186' '134967']
29550387#1_2.026866,
1054253,
29550387#1_2.027327,
1357591,"['1003' '1044411' '1178031' '120673' '1217640' '1364866' '15548' '1577921'
 '174191' '274052']"
1574247,['1094420' '137830' '1516194' '238821']
1098517,
451172,
59609802_1.026949,
1366753,['1162927' '1569967']
1376696,['1398463']
107681,
1396306,['1150059' '145295']
1315588,
18730,
1521218,['1109519' '1241385' '182370']
128338,"['1118049' '1138190' '1208642' '1228407' '1301319' '1535805' '156259'
 '178480']"
1206153,
1547598,['1303028' '259130']
1105357,"['1003' '1044411' '1164975' '124400' '125881' '1488865' '1578299' '193408'
 '274052' '331448']"
1206620,['1046761' '1088039' '1244775' '1414768' '153676' '1589209']
1498519,['1297664' '1479691']
166584,
1151229,
57868214#1_2.025970,
1369531,
