trip_id,0
1407716,"['1026225' '103524' '114343' '1145225' '1146134' '117139' '1171978'
 '1175338' '1210379' '1227309' '1230318' '1263667' '1278278' '1427493'
 '1437188' '1490834' '1502536' '151515' '1530372' '155442' '1560887'
 '1593154' '18214' '295165' '331706']"
1323216,
1322597,
118862,
110737,['1052132']
30642,"['1005849' '1047837' '1072422' '1121246' '1127818' '1141472' '1162664'
 '1169757' '1214742' '1224511' '1253856' '1254487' '1370166' '1378384'
 '1386194' '1530526' '1547457' '157364' '1593366' '161710' '173919'
 '19222' '196920' '203276' '23894' '252805']"
1174601,
59609802_1.022742,
1451526,"['1046784' '1107741' '1143385' '1174566' '1180232' '1237912' '1265017'
 '1331901' '1434318' '1496938' '1583842' '219642' '241681' '363969']"
1395566,"['100011' '1000862' '100740' '1022506' '1052783' '1067678' '1070793'
 '1106269' '1121417' '120660' '1211898' '1236843' '1254837' '1292468'
 '1303609' '131001' '1315238' '1350971' '1406822' '1437851' '1486642'
 '1490890' '1497355' '1501505' '1576041' '172779' '174911' '254184'
 '261580' '29175']"
1098717,"['1065482' '1231372' '1241778' '126136' '1320717' '1344364' '1429935'
 '1430590' '1523871' '1550002' '212518' '346181']"
24491335#2_1.023477,
29550387#1_1.024050,
1404564,
1077012,"['1006746' '1022346' '108175' '1097217' '1115216' '1184254' '120'
 '1209494' '1316680' '1329205' '13950' '1395743' '1417965' '1434693'
 '1442229' '1443777' '1497627' '1501812' '178471' '181167' '396327'
 '44541']"
305014,['1450146']
57868214#1_1.025201,
1136126,
1045611,
104592,
1444904,['1129748' '1347574' '1456711' '1488491' '378092']
1159222,['1164774' '1191707' '1349962' '1364058' '1437663' '1542877' '16551']
1195498,
103618,
1117259,"['1017632' '1050543' '121037' '1223529' '1316365' '1335243' '1349462'
 '1375836' '1386024' '1437362' '417545']"
364488,
194712,
1340091,['1189706']
59609802_1.030018,['59609802_1.027338']
1586795,['1326018' '1533621' '206877' '510241']
1563539,
1480918,['1187777']
1120436,
1310914,"['1003565' '1051577' '1064298' '1064792' '1072422' '1082530' '1090225'
 '1099407' '1110373' '1112430' '1125883' '112675' '113672' '1139600'
 '1141472' '1153565' '1162664' '1214742' '1222749' '1224511' '1234361'
 '1260099' '1271577' '1306646' '130825' '1360567' '1426486' '1433834'
 '1447663' '1545170' '163613' '165765' '203276' '333970']"
1177286,
29550387#1_1.030876,
1327405,
1504996,['1006359' '1459491']
29550387#1_1.027297,['29550387#1_1.023254']
1518499,['1034835']
1259536,['1038287']
1215807,['1531071' '1550818' '242443']
1533656,['1149264' '1551293' '199276' '245269']
1247055,['17326']
57868214#1_1.025182,['57868214#1_3.027281']
1157097,
342534,['1077778' '39093']
1591713,['142407']
226159,"['1224313' '1245331' '1296659' '1392633' '1479677' '1535002' '270647'
 '334563' '346965']"
1021414,['1133076' '1212461' '1243870']
1175764,"['1020000' '1205794' '127567' '1292922' '1299549' '1391936' '1452615'
 '149424' '210452' '226369']"
1404246,['1185096' '1426840' '1461203' '224886' '381048']
24491335#2_1.031099,
1012723,"['1033758' '1045907' '1051931' '109866' '1164839' '1173109' '1188695'
 '1196913' '1198209' '1304905' '1327622' '1374759' '1386039' '1434663'
 '144877' '1476259' '1567001' '1586651' '162776' '248333' '303691'
 '355193' '366639']"
1254873,
1274814,"['1066036' '1146784' '1160744' '116441' '1230199' '1277527' '1305935'
 '143685' '1489404' '1490664' '206202' '392063']"
203360,
263395,
1577630,"['1070444' '1090787' '1113099' '1127953' '1183393' '1218422' '1311393'
 '1325368' '133464' '1342001' '142540' '1436957' '1483288' '1523070'
 '1577910' '1585164' '177981' '193920' '243136']"
1388123,
1454664,['210159']
57868214#1_1.029745,['57868214#1_2.025965' '57868214#1_2.026478' '57868214#1_3.026526']
1051757,
1213534,['1012318' '1315212']
57868214#1_1.021876,
29550387#1_1.024891,
1259529,
441664,['1403822' '151833']
1200135,['103321' '1159285' '1237627' '1247066' '1573366' '226127']
1215423,"['1006972' '11082' '1112682' '1201869' '1261956' '1293864' '1318184'
 '1321794' '1340476' '137984' '1457794' '1538382' '1588453' '159269'
 '182557' '182710']"
